iter	Logloss
0	0.6519338025
1	0.6167431767
2	0.5640164523
3	0.5273428855
4	0.4903038115
5	0.461736255
6	0.4374567392
7	0.4068038771
8	0.3799371016
9	0.3570681371
10	0.339503323
11	0.3240731925
12	0.307998238
13	0.2918814518
14	0.2767724082
15	0.2574435951
16	0.2457058938
17	0.23510054
18	0.2231739173
19	0.2143052416
20	0.2118202839
21	0.2005763005
22	0.1933062888
23	0.1840377948
24	0.1730325926
25	0.1680733298
26	0.1618894886
27	0.1574151164
28	0.1511241061
29	0.146961046
30	0.1413241859
31	0.135289884
32	0.1284004
33	0.1231537588
34	0.118725337
35	0.1118548444
36	0.1071569236
37	0.1040349964
38	0.1007062001
39	0.09710708798
40	0.09318220615
41	0.09067872118
42	0.08760524969
43	0.08530528233
44	0.0825564021
45	0.07877202503
46	0.07620196851
47	0.07400079633
48	0.07153373468
49	0.06927858806
50	0.06782936268
51	0.06601494453
52	0.06435934442
53	0.06272137947
54	0.06024974291
55	0.05854104191
56	0.05695098736
57	0.05472955157
58	0.05343832344
59	0.0518004093
60	0.050272326
61	0.04890661748
62	0.04733593933
63	0.04562846364
64	0.04437873598
65	0.04266239385
66	0.04168475456
67	0.04028053362
68	0.038929951
69	0.03793053549
70	0.03688535339
71	0.0358085261
72	0.03438059619
73	0.03377557973
74	0.0329690429
75	0.03197739163
76	0.03109711506
77	0.03008337099
78	0.02921991856
79	0.0286693573
80	0.02801660827
81	0.02730433276
82	0.02665314518
83	0.02621096079
84	0.02570028579
85	0.02512581622
86	0.02451720785
87	0.02418728148
88	0.02352671936
89	0.02291047769
90	0.02260299198
91	0.02230030005
92	0.0218391653
93	0.02143464323
94	0.02091296774
95	0.02037056548
96	0.02001306659
97	0.01970098058
98	0.01948098081
99	0.01919122993
100	0.01888901679
101	0.01852421292
102	0.0182190684
103	0.01796979201
104	0.01770217692
105	0.01736760139
106	0.01705302176
107	0.01676953816
108	0.01646381226
109	0.01627861574
110	0.0159280134
111	0.01563816774
112	0.01540728671
113	0.01519112313
114	0.01485990696
115	0.01454681353
116	0.01432049079
117	0.01413507735
118	0.01395423686
119	0.01378270544
120	0.01361828652
121	0.01333060128
122	0.01315715469
123	0.01296929649
124	0.0127605493
125	0.01264402808
126	0.0125225714
127	0.01238890359
128	0.01223864907
129	0.01213157177
130	0.0120197984
131	0.0118622262
132	0.01172426685
133	0.01160872667
134	0.01148928971
135	0.01139743797
136	0.01129557266
137	0.01118949007
138	0.01105094249
139	0.01093664717
140	0.01083786077
141	0.01073838257
142	0.01061209694
143	0.01044752461
144	0.01036070019
145	0.01024178208
146	0.01011500789
147	0.009980133322
148	0.009909954227
149	0.009805114543
150	0.009663289688
151	0.009571476061
152	0.009333741469
153	0.009278291562
154	0.009188742911
155	0.009120675384
156	0.00904608066
157	0.008971995995
158	0.008892531278
159	0.008780464774
160	0.008698934414
161	0.008621475736
162	0.008553160019
163	0.008492843049
164	0.008425278742
165	0.008373651348
166	0.008258395508
167	0.008182101074
168	0.00807218962
169	0.007996037847
170	0.007932635604
171	0.007887511957
172	0.007823320197
173	0.007764977021
174	0.00769695835
175	0.007644226317
176	0.007557859186
177	0.00750337077
178	0.007456802931
179	0.007388950371
180	0.007332247789
181	0.007275486579
182	0.007228961734
183	0.007180238845
184	0.00708593306
185	0.007030000452
186	0.006981436346
187	0.006905646598
188	0.006853012765
189	0.006805453144
190	0.006722967156
191	0.006679657053
192	0.006637115948
193	0.006571894786
194	0.006538736039
195	0.006504266966
196	0.006462840272
197	0.006431267887
198	0.006380511112
199	0.006350000374
200	0.006318538892
201	0.006279352747
202	0.006230972341
203	0.00616485711
204	0.006125619666
205	0.00610055347
206	0.006065213289
207	0.006025859567
208	0.005990514013
209	0.005949286652
210	0.005907703619
211	0.005873322487
212	0.005839060565
213	0.005802996823
214	0.005775361765
215	0.005720155161
216	0.005686544493
217	0.005632039465
218	0.005596016274
219	0.005559109762
220	0.005523928365
221	0.005489206216
222	0.005454739098
223	0.005410258887
224	0.005380792696
225	0.005339439775
226	0.005301485785
227	0.005245054354
228	0.005213907996
229	0.005189749061
230	0.005134537572
231	0.005090862024
232	0.005065645351
233	0.005039775958
234	0.005012011919
235	0.004993474386
236	0.004970452825
237	0.004942362426
238	0.004906056357
239	0.004871379157
240	0.004849344003
241	0.004831773336
242	0.00480748884
243	0.004783170634
244	0.004751670556
245	0.004726855481
246	0.004700898147
247	0.004684731609
248	0.004659859861
249	0.004641884663
250	0.004584624142
251	0.004560762742
252	0.004542860828
253	0.004523948568
254	0.004501982791
255	0.004478698383
256	0.004461349034
257	0.004424907145
258	0.004407895882
259	0.004376563381
260	0.004347407427
261	0.004330313597
262	0.004313767445
263	0.004293924472
264	0.004279253913
265	0.00424809534
266	0.004222918729
267	0.004200733099
268	0.004179456195
269	0.004163188035
270	0.004145719966
271	0.004131692843
272	0.004116138718
273	0.004099586948
274	0.00407295613
275	0.004057650195
276	0.004037145464
277	0.004003223581
278	0.003982123293
279	0.003965512895
280	0.003943667549
281	0.003932518549
282	0.003914922964
283	0.003889329609
284	0.003865846845
285	0.003844808848
286	0.003830160274
287	0.003818766504
288	0.003806431763
289	0.003779653643
290	0.003763196654
291	0.00374812816
292	0.003736456887
293	0.003719135142
294	0.003701204159
295	0.003690507568
296	0.003665585987
297	0.003652714804
298	0.003637896209
299	0.003624471485
300	0.003592294015
301	0.003580510616
302	0.003563523293
303	0.003551467276
304	0.003538991096
305	0.003527351334
306	0.003516519167
307	0.003506649713
308	0.003494343308
309	0.003484877407
310	0.003472206778
311	0.003461986536
312	0.003442604034
313	0.003421564083
314	0.00341269667
315	0.003392605997
316	0.00338040219
317	0.003359643895
318	0.003349438798
319	0.0033353914
320	0.003322244668
321	0.003312774858
322	0.003303616018
323	0.003282999406
324	0.003271649363
325	0.003261014331
326	0.00325108405
327	0.003240391368
328	0.003227941081
329	0.003215380379
330	0.003205444481
331	0.003195124571
332	0.00318193338
333	0.003171116602
334	0.003144430332
335	0.003129640075
336	0.003117737711
337	0.003108913781
338	0.003099176727
339	0.003092138005
340	0.003080449876
341	0.003063927908
342	0.003056300957
343	0.003045781714
344	0.003037042305
345	0.00302720876
346	0.003022027797
347	0.00301106152
348	0.00300181425
349	0.002993761516
350	0.002976443191
351	0.002967099674
352	0.002954513323
353	0.002944590127
354	0.002936549363
355	0.002929172066
356	0.002917896529
357	0.002909294162
358	0.002900476827
359	0.002893080965
360	0.002884482995
361	0.002873138815
362	0.002865978196
363	0.002854756156
364	0.002839521306
365	0.002828346413
366	0.002820707247
367	0.002812902458
368	0.002804776684
369	0.002796891527
370	0.0027898765
371	0.002783275774
372	0.00277547294
373	0.002763894249
374	0.002754817243
375	0.002748003749
376	0.002738584993
377	0.002728463685
378	0.002719990054
379	0.002705611655
380	0.002705528599
381	0.002701895159
382	0.002695928099
383	0.002689023731
384	0.002680170243
385	0.002670118066
386	0.002661551608
387	0.00264397117
388	0.00263739365
389	0.002629808959
390	0.002624148961
391	0.002617824762
392	0.002610683197
393	0.002604982648
394	0.002596483856
395	0.002589754394
396	0.002585021199
397	0.002576941594
398	0.002567249243
399	0.002553170089
400	0.002540374877
401	0.002530050327
402	0.002518502904
403	0.002514026204
404	0.002507582795
405	0.002502563303
406	0.002496900129
407	0.002488336114
408	0.002482380291
409	0.002471523207
410	0.002464651084
411	0.002459248803
412	0.002453531398
413	0.002445719037
414	0.002439865812
415	0.002432221761
416	0.002432104261
417	0.002428319122
418	0.00242030474
419	0.002414394598
420	0.002414337436
421	0.002407577927
422	0.002399062768
423	0.002392312054
424	0.002377969075
425	0.002370990202
426	0.002363067181
427	0.002354363193
428	0.002349664198
429	0.002343681748
430	0.002337110824
431	0.002331067793
432	0.002324962958
433	0.002319327632
434	0.002313826416
435	0.002305130734
436	0.002301870555
437	0.002295656038
438	0.002289845318
439	0.002285786339
440	0.002281097115
441	0.002281014548
442	0.002276117684
443	0.002271225218
444	0.002262899866
445	0.002258902446
446	0.002251082756
447	0.002244185229
448	0.002238911195
449	0.002233496455
450	0.002233519906
451	0.002229929703
452	0.002226199772
453	0.002221422117
454	0.002221376437
455	0.002211811113
456	0.00220654001
457	0.002200675792
458	0.002200647456
459	0.002197548991
460	0.002197016214
461	0.002197040886
462	0.002197052612
463	0.002192201184
464	0.002188818132
465	0.002183720225
466	0.002178644059
467	0.002174956388
468	0.002174988389
469	0.002172657212
470	0.002167445226
471	0.002166809117
472	0.00216301494
473	0.002157359094
474	0.002152007867
475	0.002147421485
476	0.002143435547
477	0.002139978233
478	0.002136577837
479	0.002129913842
480	0.002129913842
481	0.002126774338
482	0.002122076808
483	0.002118297043
484	0.00211298026
485	0.002109282574
486	0.002106536852
487	0.002104985421
488	0.002099834505
489	0.002091120501
490	0.002085032033
491	0.002080653535
492	0.002075016987
493	0.002070474087
494	0.002064696345
495	0.002060684024
496	0.002060705887
497	0.002057550017
498	0.002052100467
499	0.002048583304
